id,title,title_original,director_id,release_date,mins,country,genre,imdb,youtube,youtube_title,wikipedia,famous,itunes
masseurs-and-a-woman,The Masseurs and a Woman,Anma to onna,shimizu-hiroshi,1938-07-07,66,Japan,Drama,http://www.imdb.com/title/tt0426900/?ref_=ttrel_rel_tt,lFrM4X3t3Ag,The Masseurs and a Woman / 按摩と女 (1938) (EN/ES),,1,
kenji-mizoguchi_the-life-of-a-film-director,Kenji Mizoguchi  The Life of a Film Director,Aru eiga-kantoku no shogai,shindo-kaneto,1975-05-24,150,Japan,Documentary-Biography,http://www.imdb.com/title/tt0071163/?ref_=ttrel_rel_tt,,,,0,
lineup_1958,The Lineup,The Lineup,siegel-don,1958-05-01,86,USA,Crime-Drama-Film-Noir,http://www.imdb.com/title/tt0051866/?ref_=ttrel_rel_tt,QGxMFK67vB0,Trailer,,1,
cry-of-the-city,Cry of the City,Cry of the City,siodmak-robert,1948-09-29,95,USA,Crime-Drama-Film-Noir,http://www.imdb.com/title/tt0040257/?ref_=ttrel_rel_tt,nUt6ii3z4N0,Trailer,,1,
time-to-love-and-a-time-to-die,A Time to Love and a Time to Die,A Time to Love and a Time to Die,sirk-douglas,1958-06-25,132,USA,War-Romance-Drama,http://www.imdb.com/title/tt0052296/?ref_=ttrel_rel_tt,wWALRQcCsv4,Trailer,,1,
wind_1928,The Wind,The Wind,sjostrom-victor,1928-09-15,88,USA,Drama,http://www.imdb.com/title/tt0019585/?ref_=ttrel_rel_tt,CHKfDhIynIE,Le Vent (1928 ) de Victor Sjöström (extraits du ciné-concert musique Carlos Grätzer),,1,
barrier_1966,Barrier,Bariera,skolimowski-jerzy,1966-09-01,77,Poland,Drama-Comedy,http://www.imdb.com/title/tt0060150/?ref_=ttrel_rel_tt,,,,0,
shout_1978,The Shout,The Shout,skolimowski-jerzy,1978-05-22,86,UK,Horror-Drama ,http://www.imdb.com/title/tt0078259/?ref_=ttrel_rel_tt,Q3PKNygNQVQ,Trailer,,1,
vanishing_spoorloos,The Vanishing,Spoorloos,sluizer-george,1988-08-29,107,Netherlands-France-West Germany,Mystery-Thriller ,http://www.imdb.com/title/tt0096163/?ref_=ttrel_rel_tt,KlO2oIieI44,Trailer,,1,
king-of-the-hill_1993,King of the Hill,King of the Hill,soderbergh-steven,1993-05-19,103,USA,Drama-History,http://www.imdb.com/title/tt0107322/?ref_=ttrel_rel_tt,YKWZewJbZy8,Steven Soderbergh on King of the Hill,,1,
out-of-sight_1998,Out of Sight,Out of Sight,soderbergh-steven,1998-06-26,122,USA,Romance-Crime-Drama,http://www.imdb.com/title/tt0120780/?ref_=ttrel_rel_tt,ZAvPz1Qtc3g,Trailer,,1,
che-2008,Che,Che,soderbergh-steven,2008-05-21,257,France-Spain-USA,Biography-Drama-History,http://www.imdb.com/title/tt0892255/?ref_=ttrel_rel_tt,0OVtH2kg1tM,CHE Trailer (2008) - The Criterion Collection,,1,
days-of-eclipse,The Days of Eclipse,Dni zatmeniya,sokurov-aleksandr,1988-12-01,133,USSR,Science Fiction,http://www.imdb.com/title/tt0095040/?ref_=ttrel_rel_tt,oM6sQ8kGEYA,THE DAYS OF THE ECLIPSE,,1,
lucía_1968,Lucía,Lucía,solas-humberto,1968-10-01,160,Cuba,Drama,http://www.imdb.com/title/tt0064609/?ref_=ttrel_rel_tt,z4HWRQX9cEs,Trailer,,1,
happiness_1998,Happiness ,Happiness ,solondz-todd,1998-05-15,134,USA,Drama-Comedy,http://www.imdb.com/title/tt0147612/?ref_=ttrel_rel_tt,JzYllBpl-9I,Trailer,,1,
love-exposure_ai-no-mukidashi,Love Exposure,Ai no mukidashi,sono-sion,2008-11-29,237,Japan,Action-Comedy-Drama,http://www.imdb.com/title/tt1128075/?ref_=ttrel_rel_tt,5Fxa5NuVrqU,Trailer,,1,
